,CustomerId,Geography,Age,Tenure,HasCrCard,EstimatedSalary,Churn
0,15634602,France,40-44,2,1,100000-109999,1
1,15647311,Spain,40-44,1,0,110000-119999,0
2,15619304,France,40-44,8,1,110000-119999,1
3,15701354,France,35-39,1,0,90000-99999,0
4,15737888,Spain,40-44,2,1,70000-79999,0
5,15574012,Spain,40-44,8,1,140000-149999,1
6,15592531,France,45-49,7,1,10000-19999,0
7,15656148,Germany,25-29,4,1,110000-119999,1
8,15792365,France,40-44,4,0,70000-79999,0
9,15592389,France,25-29,2,1,70000-79999,0
10,15767821,France,30-34,6,0,80000-89999,0
11,15737173,Spain,20-24,3,1,70000-79999,0
12,15632264,France,30-34,10,1,20000-29999,0
13,15691483,France,20-24,5,0,190000-199999,0
14,15600882,Spain,30-34,7,1,60000-69999,0
15,15643966,Germany,40-44,3,0,60000-69999,0
16,15737452,Germany,55-59,1,1,0-9999,1
17,15788218,Spain,20-24,9,1,10000-19999,0
18,15661507,Spain,40-44,6,0,150000-159999,0
19,15568982,France,20-24,6,1,50000-59999,0
20,15577657,France,40-44,8,1,170000-179999,0
21,15597945,Spain,30-34,8,1,130000-139999,0
22,15699309,Spain,35-39,4,1,110000-119999,1
23,15725737,France,45-49,3,0,0-9999,0
24,15625047,France,35-39,5,1,180000-189999,0
25,15738191,France,20-24,3,0,120000-129999,0
26,15736816,Germany,35-39,2,1,170000-179999,0
27,15700772,France,40-44,9,0,30000-39999,0
28,15728693,Germany,40-44,3,1,100000-109999,0
29,15656300,France,25-29,0,1,50000-59999,0
30,15589475,Spain,35-39,3,1,140000-149999,1
31,15706552,France,35-39,7,0,150000-159999,0
32,15750181,Germany,40-44,9,0,80000-89999,0
33,15659428,Spain,40-44,6,1,30000-39999,0
34,15732963,Spain,25-29,9,1,140000-149999,0
35,15794171,France,40-44,0,1,20000-29999,1
36,15788448,Spain,30-34,3,0,110000-119999,0
37,15729599,Spain,30-34,7,0,90000-99999,0
38,15717426,France,35-39,7,1,40000-49999,0
39,15585768,Germany,40-44,6,0,170000-179999,0
40,15619360,Spain,35-39,4,1,70000-79999,0
41,15738148,France,50-54,8,0,180000-189999,1
42,15687946,France,60-64,2,1,90000-99999,0
43,15755196,France,45-49,2,0,190000-199999,1
44,15684171,Spain,60-64,5,1,150000-159999,0
45,15754849,Germany,30-34,4,1,120000-129999,0
46,15602280,Germany,25-29,9,1,110000-119999,1
47,15771573,Germany,35-39,9,1,110000-119999,1
48,15766205,Germany,35-39,2,0,90000-99999,0
49,15771873,Germany,35-39,2,1,190000-199999,0
50,15616550,Germany,40-44,10,1,190000-199999,0
51,15768193,Germany,35-39,5,0,80000-89999,0
52,15683553,France,30-34,5,0,110000-119999,0
53,15702298,Germany,40-44,8,0,160000-169999,1
54,15569590,Germany,40-44,1,1,40000-49999,1
55,15760861,France,40-44,1,1,110000-119999,0
56,15630053,France,40-44,5,1,80000-89999,0
57,15647091,Germany,15-19,0,0,40000-49999,0
58,15623944,Spain,65-69,4,1,0-9999,1
59,15804771,France,50-54,4,1,40000-49999,0
60,15651280,Germany,30-34,5,0,80000-89999,0
61,15773469,Germany,25-29,9,0,120000-129999,0
62,15702014,Spain,30-34,1,0,170000-179999,0
63,15751208,Spain,55-59,8,1,90000-99999,0
64,15592461,Germany,25-29,4,1,90000-99999,0
65,15789484,Germany,35-39,6,1,20000-29999,0
66,15696061,Germany,30-34,1,1,110000-119999,0
67,15641582,Germany,40-44,10,1,190000-199999,0
68,15638424,Germany,30-34,5,0,110000-119999,0
69,15755648,France,20-24,8,1,10000-19999,0
70,15703793,Germany,55-59,2,1,20000-29999,1
71,15620344,France,25-29,6,1,30000-39999,0
72,15812518,Spain,35-39,0,0,40000-49999,0
73,15779052,Germany,20-24,5,1,50000-59999,0
74,15770811,France,35-39,9,0,140000-149999,0
75,15780961,France,20-24,1,1,20000-29999,0
76,15614049,France,50-54,8,1,130000-139999,0
77,15662085,France,30-34,9,1,140000-149999,0
78,15575185,Spain,30-34,5,0,190000-199999,0
79,15803136,Germany,40-44,10,1,90000-99999,0
80,15706021,France,30-34,1,0,170000-179999,0
81,15663706,France,30-34,2,1,130000-139999,1
82,15641732,France,35-39,3,0,20000-29999,0
83,15701164,France,30-34,4,1,150000-159999,0
84,15738751,France,45-49,4,1,0-9999,0
85,15805254,Spain,70-74,10,1,110000-119999,0
86,15762418,Spain,20-24,3,1,120000-129999,1
87,15625759,France,25-29,9,1,150000-159999,0
88,15622897,France,45-49,4,1,90000-99999,1
89,15767954,Germany,25-29,3,1,150000-159999,0
90,15757535,Spain,40-44,5,1,170000-179999,1
91,15731511,France,40-44,7,1,140000-149999,0
92,15809248,France,35-39,10,1,100000-109999,0
93,15640635,France,25-29,8,1,170000-179999,0
94,15676966,Spain,40-44,4,0,80000-89999,0
95,15699461,Spain,30-34,10,0,120000-129999,0
96,15738721,Spain,40-44,9,0,60000-69999,0
97,15693683,Germany,25-29,8,1,190000-199999,0
98,15604348,Spain,20-24,8,0,90000-99999,0
99,15633059,France,30-34,9,0,0-9999,0
100,15808582,France,35-39,6,1,160000-169999,0
101,15743192,France,40-44,6,0,160000-169999,0
102,15580146,France,30-34,9,1,40000-49999,0
103,15776605,Spain,35-39,7,1,60000-69999,0
104,15804919,Spain,60-64,1,1,170000-179999,1
105,15613854,Spain,45-49,4,1,30000-39999,1
106,15599195,Germany,30-34,1,1,10000-19999,0
107,15812878,Germany,35-39,2,0,30000-39999,0
108,15602312,Spain,30-34,5,0,70000-79999,0
109,15744689,Germany,30-34,9,1,90000-99999,1
110,15803526,Germany,25-29,3,0,60000-69999,0
111,15665790,Germany,35-39,7,1,20000-29999,0
112,15715951,France,40-44,2,0,80000-89999,0
113,15591100,Spain,35-39,9,0,20000-29999,0
114,15609618,Germany,25-29,9,0,100000-109999,1
115,15675522,Germany,25-29,9,1,70000-79999,0
116,15705512,Germany,35-39,6,1,110000-119999,0
117,15698028,France,40-44,1,1,30000-39999,0
118,15661670,Germany,30-34,8,1,190000-199999,1
119,15600781,Germany,30-34,4,1,120000-129999,0
120,15682472,France,30-34,8,0,30000-39999,0
121,15580203,Spain,35-39,6,0,100000-109999,0
122,15690673,France,35-39,6,1,140000-149999,0
123,15760085,Germany,45-49,10,1,190000-199999,0
124,15779659,France,25-29,3,0,180000-189999,0
125,15627360,France,40-44,9,1,110000-119999,1
126,15671137,France,50-54,1,0,0-9999,1
127,15782688,Germany,55-59,0,1,40000-49999,1
128,15575492,France,40-44,7,1,170000-179999,0
129,15591607,France,20-24,9,1,160000-169999,0
130,15740404,France,30-34,3,1,120000-129999,0
131,15718369,Germany,30-34,9,1,110000-119999,0
132,15677871,France,35-39,9,1,30000-39999,0
133,15642004,France,20-24,1,0,10000-19999,0
134,15712543,Germany,35-39,7,1,120000-129999,0
135,15584518,Germany,45-49,5,1,30000-39999,0
136,15802381,Germany,30-34,5,0,160000-169999,0
137,15610156,France,35-39,2,0,90000-99999,0
138,15594408,Spain,45-49,2,1,70000-79999,1
139,15640905,Spain,30-34,1,0,0-9999,1
140,15698932,Germany,40-44,10,1,180000-189999,0
141,15724944,France,30-34,7,1,180000-189999,0
142,15628145,France,40-44,5,1,190000-199999,0
143,15713483,Spain,50-54,2,1,150000-159999,1
144,15612350,France,30-34,5,1,120000-129999,1
145,15800703,Spain,20-24,5,1,50000-59999,0
146,15705707,Spain,25-29,8,1,140000-149999,0
147,15754105,France,35-39,5,0,20000-29999,0
148,15703264,France,40-44,9,1,70000-79999,0
149,15794413,France,30-34,0,0,0-9999,0
150,15650237,Spain,30-34,7,1,80000-89999,0
151,15759618,France,45-49,9,1,140000-149999,1
152,15811589,Spain,40-44,8,1,180000-189999,0
153,15689044,France,35-39,2,1,90000-99999,0
154,15709368,France,40-44,6,1,100000-109999,0
155,15679145,Spain,55-59,7,1,10000-19999,1
156,15655007,France,30-34,7,0,80000-89999,0
157,15623595,Spain,25-29,2,1,90000-99999,0
